id,task_id,track_id,lang,category,type,topic,complexity,image,task,choices,hint,status,llm_answer,confidence_level,submitted_answer,llm_info,user_answers
68,cp5yGgptsVJ1gfPk,t-rGrTWQgiRrHcyP,en,vqa,mcq,uae,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_cgd3asvfstrob8ry.png,what is the color of the other metal object that is the same shape as the yellow thing?,"{'a': 'green', 'b': 'gray', 'c': 'red', 'd': 'cyan'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9985963912626926, ""margin"": 0.997848027334071, ""entropy"": 0.01204279218383761, ""probs"": {""a"": 0.9985963912626926, ""b"": 0.0007483639286216493, ""c"": 0.0002927199418606608, ""d"": 0.0003625248668251364}, ""adapter"": ""color""}","['b', 'a']"
85,KdJGDyQesWbEsfK7,t-9wduZUd5ZeX1G8,en,vqa,mcq,living-room,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_5ori6modz3ze34pm.png,what is the color of the big bookshelf?,"{'a': 'red', 'b': 'brown', 'c': 'cyan', 'd': 'blue'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9998285166648317, ""margin"": 0.9997149161643991, ""entropy"": 0.0018077000368415164, ""probs"": {""a"": 0.9998285166648317, ""b"": 3.262894890777468e-05, ""c"": 0.0001136005004326571, ""d"": 2.5253885827922327e-05}, ""adapter"": ""color""}",['a']
86,J28fcVJiB1hvgxd5,t-6yILwc9gncH3kQ,en,vqa,numeric,kitchen,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xf8jugxgihw0ndvh.png,what number of tiny things are rubber plates or forks?,"{'a': '5', 'b': '4'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.9765233183129886, ""margin"": 0.953046636625977, ""entropy"": 0.11127750679365539, ""probs"": {""a"": 0.02347668168701156, ""b"": 0.9765233183129886}, ""adapter"": ""amount""}",['b']
94,uqBcAMs97KTTApTW,t-uIHE8jLlh5KXtB,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ucib7c2n3kv92fcy.png,what number of other things are there of the same shape as the purple metal object?,"{'a': '3', 'b': '2'}",,Submitted,b,1.0,a,"{""answer"": ""b"", ""confidence"": 0.7502640736733621, ""margin"": 0.5005281473467242, ""entropy"": 0.5620448440307149, ""probs"": {""a"": 0.24973592632663788, ""b"": 0.7502640736733621}, ""adapter"": ""amount""}","['a', 'a']"
104,1DlgxMlOmHyzGEqU,t-nikk53iyQrMDJ3,en,vqa,numeric,office,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_boivno9pi6aq51h0.png,how many other things are the same color as the big calculator?,"{'a': '0', 'b': '1'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.6332082645203501, ""margin"": 0.2664165290407001, ""entropy"": 0.6572260833901562, ""probs"": {""a"": 0.6332082645203501, ""b"": 0.36679173547964994}, ""adapter"": ""amount""}",['a']
118,U7ZEploQJnTkN9uD,t-sU4pwR2Wc62HDz,en,vqa,true-false,music,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ifb23hmz9iydama6.png,is there a big purple guitar?,"{'a': 'False', 'b': 'True'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9995877665549437, ""margin"": 0.9991755331098875, ""entropy"": 0.0036250632664457214, ""probs"": {""a"": 0.9995877665549437, ""b"": 0.0004122334450562968}, ""adapter"": ""trfl""}",['a']
125,rfb2cRyG5B9Rhjua,t-voxtfp0quSzCwz,en,vqa,numeric,construction-site,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_fs94jhnuby42oxll.png,how many tiny metal things have the same color as the big metal object?,"{'a': '3', 'b': '1'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.6821548812331327, ""margin"": 0.3643097624662654, ""entropy"": 0.6252344862819665, ""probs"": {""a"": 0.31784511876686733, ""b"": 0.6821548812331327}, ""adapter"": ""amount""}","['a', 'b']"
126,scebZDPMdCH64HlL,t-12MB0SxMBxgtBh,en,vqa,mcq,music,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_03eqlmypxxb5u5wp.png,there is another object that is the same color as the small metal object; what is it made of?,"{'a': 'rubber', 'b': 'metal'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.889507091467938, ""margin"": 0.7790141829358761, ""entropy"": 0.34754464181032785, ""probs"": {""a"": 0.889507091467938, ""b"": 0.11049290853206196}, ""adapter"": ""material""}",['a']
127,OlywAGdtDVnOcNV8,t-ECm8S0LTM8redi,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_h5daxqw42ao7caw7.png,how many other objects are there of the same shape as the gray rubber thing?,"{'a': '3', 'b': '2'}",,Submitted,b,1.0,a,"{""answer"": ""b"", ""confidence"": 0.8076426413738779, ""margin"": 0.6152852827477557, ""entropy"": 0.48962316104589254, ""probs"": {""a"": 0.1923573586261221, ""b"": 0.8076426413738779}, ""adapter"": ""amount""}","['a', 'a']"
130,J3vsi6ndTHTg7mEH,t-zeUvIyY7tZegtb,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2jhnnil47jek88sg.png,is there any other thing that is the same size as the rubber medicine bottle?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,b,"{""answer"": ""a"", ""confidence"": 0.6930899604470687, ""margin"": 0.3861799208941374, ""entropy"": 0.6166059678122702, ""probs"": {""a"": 0.6930899604470687, ""b"": 0.30691003955293134}, ""adapter"": ""trfl""}","['b', 'b']"
