id,task_id,lang,category,type,topic,complexity,image,task,choices,correct_answer,user_answers
1,ieuj1Y1sJmL8F7sa,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_9w2qky82aobuq0bh.png,how many things are cats or small metal objects?,"{'a': '2', 'b': '1'}",a,"['a', 'a', 'a']"
2,qFGcRIik8WSiQRs8,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ft20ryxfp3ujla1c.png,are there any bulldozers?,"{'a': 'False', 'b': 'True'}",b,"['a', 'b', 'a', 'b', 'a', 'a']"
3,TD1RbT5k5ibhiTsL,en,vqa,numeric,fashion,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wy7tk9mvmfz94clh.png,how many other things are there of the same color as the large metal shirt?,"{'a': '1', 'b': '3'}",a,"['b', 'b', 'a', 'b', 'a', 'a', 'a']"
4,d63Y3lEWODmdVuoT,en,vqa,mcq,garage-workshop,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_hwtiqcx99ch72sqf.png,the large object has what shape?,"{'a': 'tire', 'b': 'hammer', 'c': 'wrench'}",a,"['a', 'b', 'b', 'a', 'a']"
5,IimSdLpaaRcYycDE,en,vqa,true-false,kitchen,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z2lug1tdeenibh1l.png,are there any tiny metal objects that have the same color as the rubber fork?,"{'a': 'True', 'b': 'False'}",a,"['a', 'b']"
6,78zBJI5PgaM5agEc,en,vqa,true-false,living-room,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_04k28euxu8qdwgxs.png,is there another sofa that has the same size as the sofa?,"{'a': 'True', 'b': 'False'}",b,"['b', 'a']"
7,iyTuyclMF5CYrHKG,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_mzmlv0c7ix7d751y.png,are there any large red hospital beds?,"{'a': 'False', 'b': 'True'}",a,['b']
8,lzFLJKYszxokgk0l,en,vqa,true-false,music,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z9staezxvj8i3v7t.png,are there any big gray metal objects that have the same shape as the tiny gray rubber thing?,"{'a': 'False', 'b': 'True'}",a,"['b', 'b', 'a', 'b']"
9,THBDwrtzyPBtzNRD,en,vqa,true-false,office,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_icfbllrdi7px3fjg.png,is the number of rubber coffee mugs less than the number of yellow metal calculators?,"{'a': 'False', 'b': 'True'}",a,"['a', 'a', 'a', 'a', 'a']"
10,vPdInsRFZKt3niUx,en,vqa,true-false,school,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0wewpthtkhkuggf0.png,is the number of metal notebooks greater than the number of small yellow rubber pencils?,"{'a': 'False', 'b': 'True'}",b,"['a', 'a', 'b']"
11,OuSOFHcNH2NIK3A9,en,vqa,true-false,uae,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_v2qc7niy0olytk6f.png,do the blue thing and the brown metal falcon stand have the same size?,"{'a': 'True', 'b': 'False'}",b,['b']
12,AI9gHH5z9pY0KDsA,en,vqa,true-false,underwater,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_865i3gamhs7qpgfc.png,is there anything else that is the same color as the small rubber fish?,"{'a': 'False', 'b': 'True'}",b,['b']
13,50dyq0C8e9zqN7im,en,vqa,mcq,kitchen,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xsuiwtc2xtfevecw.png,what color is the tiny object that is the same material as the spatula?,"{'a': 'brown', 'b': 'green', 'c': 'gray'}",b,"['a', 'a', 'b', 'a']"
